"method_id","method_header","method_qualified_name","method_start_line","method_end_line"
"CL-000084","boolean parse(FastDateParser parser, Calendar calendar, String source, ParsePosition pos, int maxWidth)","org.apache.commons.lang3.time.FastDateParser$Strategy.parse(Lorg/apache/commons/lang3/time/FastDateParser;Ljava/util/Calendar;Ljava/lang/String;Ljava/text/ParsePosition;I)Z","507","507"
"CL-000085","void testAddListenerNoDuplicates()","org.apache.commons.lang3.event.EventListenerSupportTest.testAddListenerNoDuplicates()V","44","62"
"CL-000086","void addListener(L listener)","org.apache.commons.lang3.event.EventListenerSupport.addListener(Ljava/lang/Object;)V","181","183"
"CL-000087","void addListener(L listener, boolean allowDuplicate)","org.apache.commons.lang3.event.EventListenerSupport.addListener(Ljava/lang/Object;Z)V","196","203"
"CL-000088","void removeListener(L listener)","org.apache.commons.lang3.event.EventListenerSupport.removeListener(Ljava/lang/Object;)V","222","225"
"CL-000089","L[] getListeners()","org.apache.commons.lang3.event.EventListenerSupport.getListeners()[Ljava/lang/Object;","233","235"
"CL-000090","<T extends Object> EventListenerSupport<T> create(Class<T> listenerInterface)","org.apache.commons.lang3.event.EventListenerSupport.create(Ljava/lang/Class;)Lorg/apache/commons/lang3/event/EventListenerSupport;","108","110"
"CL-000091","void testConstants()","org.apache.commons.lang3.math.FractionTest.testConstants()V","37","74"
"CL-000092","Fraction(int numerator, int denominator)","org.apache.commons.lang3.math.Fraction.<init>(II)V","122","126"
"CL-000093","int getNumerator()","org.apache.commons.lang3.math.Fraction.getNumerator()I","361","363"
"CL-000094","int getDenominator()","org.apache.commons.lang3.math.Fraction.getDenominator()I","370","372"
"CL-000095","void testFactory_int_int()","org.apache.commons.lang3.math.FractionTest.testFactory_int_int()V","76","145"
"CL-000096","Fraction getFraction(int numerator, int denominator)","org.apache.commons.lang3.math.Fraction.getFraction(II)Lorg/apache/commons/lang3/math/Fraction;","140","152"
"CL-000097","void testFactory_int_int_int()","org.apache.commons.lang3.math.FractionTest.testFactory_int_int_int()V","147","249"
"CL-000098","Fraction getFraction(int whole, int numerator, int denominator)","org.apache.commons.lang3.math.Fraction.getFraction(III)Lorg/apache/commons/lang3/math/Fraction;","170","190"
"CL-000099","void testHashCode()","org.apache.commons.lang3.mutable.MutableObjectTest.testHashCode()V","74","87"
"CL-000100","int hashCode()","org.apache.commons.lang3.mutable.MutableObject.hashCode()I","111","114"
"CL-000101","void testEquals()","org.apache.commons.lang3.mutable.MutableObjectTest.testEquals()V","52","72"
"CL-000102","boolean equals(Object obj)","org.apache.commons.lang3.mutable.MutableObject.equals(Ljava/lang/Object;)Z","91","104"
"CL-000103","void testGetSet()","org.apache.commons.lang3.mutable.MutableObjectTest.testGetSet()V","40","50"
"CL-000104","T getValue()","org.apache.commons.lang3.mutable.MutableObject.getValue()Ljava/lang/Object;","63","66"
"CL-000105","void setValue(T value)","org.apache.commons.lang3.mutable.MutableObject.setValue(Ljava/lang/Object;)V","73","76"
"CL-000106","void testIsAllSet()","org.apache.commons.lang3.BitFieldTest.testIsAllSet()V","106","115"
"CL-000107","boolean isAllSet(int holder)","org.apache.commons.lang3.BitField.isAllSet(I)Z","177","179"
"CL-000108","void testConstructors()","org.apache.commons.lang3.NotImplementedExceptionTest.testConstructors()V","28","46"
"CL-000109","NotImplementedException(String message)","org.apache.commons.lang3.NotImplementedException.<init>(Ljava/lang/String;)V","55","57"
"CL-000110","NotImplementedException(Throwable cause)","org.apache.commons.lang3.NotImplementedException.<init>(Ljava/lang/Throwable;)V","65","67"
"CL-000111","NotImplementedException(String message, Throwable cause)","org.apache.commons.lang3.NotImplementedException.<init>(Ljava/lang/String;Ljava/lang/Throwable;)V","76","78"
"CL-000112","NotImplementedException(String message, String code)","org.apache.commons.lang3.NotImplementedException.<init>(Ljava/lang/String;Ljava/lang/String;)V","87","90"
"CL-000113","NotImplementedException(Throwable cause, String code)","org.apache.commons.lang3.NotImplementedException.<init>(Ljava/lang/Throwable;Ljava/lang/String;)V","99","102"
"CL-000114","NotImplementedException(String message, Throwable cause, String code)","org.apache.commons.lang3.NotImplementedException.<init>(Ljava/lang/String;Ljava/lang/Throwable;Ljava/lang/String;)V","112","115"
"CL-000115","String getCode()","org.apache.commons.lang3.NotImplementedException.getCode()Ljava/lang/String;","124","126"
"CL-000116","void assertCorrect(String assertMessage, NotImplementedException nie, String message, Throwable nested, String code)","org.apache.commons.lang3.NotImplementedExceptionTest.assertCorrect(Ljava/lang/String;Lorg/apache/commons/lang3/NotImplementedException;Ljava/lang/String;Ljava/lang/Throwable;Ljava/lang/String;)V","48","53"
"CL-000117","void testNoneLookup()","org.apache.commons.lang3.text.StrLookupTest.testNoneLookup()V","35","40"
"CL-000118","StrLookup<?> noneLookup()","org.apache.commons.lang3.text.StrLookup.noneLookup()Lorg/apache/commons/lang3/text/StrLookup;","54","56"
"CL-000119","String lookup(String key)","org.apache.commons.lang3.text.StrLookup.lookup(Ljava/lang/String;)Ljava/lang/String;","118","118"
"CL-000120","void testFormat()","org.apache.commons.lang3.time.FastDatePrinterTest.testFormat()V","82","127"
"CL-000121","String format(Date date)","org.apache.commons.lang3.time.DatePrinter.format(Ljava/util/Date;)Ljava/lang/String;","52","52"
"CL-000122","String format(Calendar calendar)","org.apache.commons.lang3.time.DatePrinter.format(Ljava/util/Calendar;)Ljava/lang/String;","63","63"
"CL-000123","String format(long millis)","org.apache.commons.lang3.time.DatePrinter.format(J)Ljava/lang/String;","44","44"
"CL-000124","DatePrinter getInstance(String format)","org.apache.commons.lang3.time.FastDatePrinterTest.getInstance(Ljava/lang/String;)Lorg/apache/commons/lang3/time/DatePrinter;","52","54"
"CL-000125","void testNextFloatRandomResult()","org.apache.commons.lang3.RandomUtilsTest.testNextFloatRandomResult()V","172","177"
"CL-000126","float nextFloat()","org.apache.commons.lang3.RandomUtils.nextFloat()F","224","226"
"CL-000127","void testEquals()","org.apache.commons.lang3.tuple.MutablePairTest.testEquals()V","72","81"
"CL-000128","boolean equals(Object obj)","org.apache.commons.lang3.tuple.Pair.equals(Ljava/lang/Object;)Z","127","139"
"CL-000129","<L extends Object, R extends Object> MutablePair<L, R> of(L left, R right)","org.apache.commons.lang3.tuple.MutablePair.of(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang3/tuple/MutablePair;","51","53"
"CL-000130","void testMid_String()","org.apache.commons.lang3.StringUtilsSubstringTest.testMid_String()V","108","128"
"CL-000131","String mid(String str, int pos, int len)","org.apache.commons.lang3.StringUtils.mid(Ljava/lang/String;II)Ljava/lang/String;","2663","2677"
"CL-000132","void testReadFromCharBuffer()","org.apache.commons.lang3.text.StrBuilderTest.testReadFromCharBuffer()V","119","131"
"CL-000133","int readFrom(Readable readable)","org.apache.commons.lang3.text.StrBuilder.readFrom(Ljava/lang/Readable;)I","438","466"
"CL-000134","StrBuilder ensureCapacity(int capacity)","org.apache.commons.lang3.text.StrBuilder.ensureCapacity(I)Lorg/apache/commons/lang3/text/StrBuilder;","235","242"
"CL-000135","String toString()","org.apache.commons.lang3.text.StrBuilder.toString()Ljava/lang/String;","2875","2878"
"CL-000136","void testContains_Char()","org.apache.commons.lang3.StringUtilsContainsTest.testContains_Char()V","60","70"
"CL-000137","boolean contains(CharSequence seq, int searchChar)","org.apache.commons.lang3.StringUtils.contains(Ljava/lang/CharSequence;I)Z","1793","1798"
"CL-000138","boolean contains(CharSequence seq, CharSequence searchSeq)","org.apache.commons.lang3.StringUtils.contains(Ljava/lang/CharSequence;Ljava/lang/CharSequence;)Z","1822","1827"
"CL-000139","boolean isEmpty(CharSequence cs)","org.apache.commons.lang3.StringUtils.isEmpty(Ljava/lang/CharSequence;)Z","208","210"
"CL-000140","int indexOf(CharSequence cs, int searchChar, int start)","org.apache.commons.lang3.CharSequenceUtils.indexOf(Ljava/lang/CharSequence;II)I","70","84"
"CL-000141","int indexOf(CharSequence cs, CharSequence searchChar, int start)","org.apache.commons.lang3.CharSequenceUtils.indexOf(Ljava/lang/CharSequence;Ljava/lang/CharSequence;I)I","94","105"
"CL-000142","void testBothArgsNull()","org.apache.commons.lang3.AnnotationUtilsTest.testBothArgsNull()V","425","428"
"CL-000143","boolean equals(Annotation a1, Annotation a2)","org.apache.commons.lang3.AnnotationUtils.equals(Ljava/lang/annotation/Annotation;Ljava/lang/annotation/Annotation;)Z","121","152"
"CL-000144","boolean isValidAnnotationMemberType(Class<?> type)","org.apache.commons.lang3.AnnotationUtils.isValidAnnotationMemberType(Ljava/lang/Class;)Z","222","231"
"CL-000145","boolean memberEquals(Class<?> type, Object o1, Object o2)","org.apache.commons.lang3.AnnotationUtils.memberEquals(Ljava/lang/Class;Ljava/lang/Object;Ljava/lang/Object;)Z","262","276"
"CL-000146","void testGetInstance()","org.apache.commons.lang3.CharSetTest.testGetInstance()V","43","52"
"CL-000147","CharSet getInstance(String[] setStrs)","org.apache.commons.lang3.CharSet.getInstance([Ljava/lang/String;)Lorg/apache/commons/lang3/CharSet;","155","166"
"CL-000148","void testTrimToNull()","org.apache.commons.lang3.StringUtilsTrimStripTest.testTrimToNull()V","44","55"
"CL-000149","String trimToNull(String str)","org.apache.commons.lang3.StringUtils.trimToNull(Ljava/lang/String;)Ljava/lang/String;","433","436"
"CL-000150","String trim(String str)","org.apache.commons.lang3.StringUtils.trim(Ljava/lang/String;)Ljava/lang/String;","407","409"
"CL-000151","void testAnyNotNull()","org.apache.commons.lang3.ObjectUtilsTest.testAnyNotNull()V","95","105"
"CL-000152","boolean anyNotNull(Object[] values)","org.apache.commons.lang3.ObjectUtils.anyNotNull([Ljava/lang/Object;)Z","154","156"
"CL-000153","<T extends Object> T firstNonNull(T[] values)","org.apache.commons.lang3.ObjectUtils.firstNonNull([Ljava/lang/Object;)Ljava/lang/Object;","120","129"
"CL-000154","void testHexDigitToInt()","org.apache.commons.lang3.ConversionTest.testHexDigitToInt()V","38","68"
"CL-000155","int hexDigitToInt(char hexDigit)","org.apache.commons.lang3.Conversion.hexDigitToInt(C)I","97","103"
"CL-000156","void testSubstring_StringInt()","org.apache.commons.lang3.StringUtilsSubstringTest.testSubstring_StringInt()V","37","56"
"CL-000157","String substring(String str, int start)","org.apache.commons.lang3.StringUtils.substring(Ljava/lang/String;I)Ljava/lang/String;","2482","2500"
"CL-000158","void testIsValidAnnotationMemberType()","org.apache.commons.lang3.AnnotationUtilsTest.testIsValidAnnotationMemberType()V","430","444"
"CL-000159","void testSupported()","org.apache.commons.lang3.CharEncodingTest.testSupported()V","54","59"
"CL-000160","boolean isSupported(String name)","org.apache.commons.lang3.CharEncoding.isSupported(Ljava/lang/String;)Z","92","101"
"CL-000161","void testNextFloatNegative()","org.apache.commons.lang3.RandomUtilsTest.testNextFloatNegative()V","56","59"
"CL-000162","void testGetFieldForceAccess()","org.apache.commons.lang3.reflect.FieldUtilsTest.testGetFieldForceAccess()V","108","125"
"CL-000163","Field getField(Class<?> cls, String fieldName, boolean forceAccess)","org.apache.commons.lang3.reflect.FieldUtils.getField(Ljava/lang/Class;Ljava/lang/String;Z)Ljava/lang/reflect/Field;","84","134"
"CL-000164","boolean isNotBlank(CharSequence cs)","org.apache.commons.lang3.StringUtils.isNotBlank(Ljava/lang/CharSequence;)Z","326","328"
"CL-000165","List<Class<?>> getAllInterfaces(Class<?> cls)","org.apache.commons.lang3.ClassUtils.getAllInterfaces(Ljava/lang/Class;)Ljava/util/List;","448","457"
"CL-000166","void setUp()","org.apache.commons.lang3.reflect.FieldUtilsTest.setUp()V","51","57"
"CL-000167","void testReplaceUnknownKey()","org.apache.commons.lang3.text.StrSubstitutorTest.testReplaceUnknownKey()V","109","113"
"CL-000168","String replace(String source)","org.apache.commons.lang3.text.StrSubstitutor.replace(Ljava/lang/String;)Ljava/lang/String;","393","402"
"CL-000169","String replace(String source, int offset, int length)","org.apache.commons.lang3.text.StrSubstitutor.replace(Ljava/lang/String;II)Ljava/lang/String;","416","425"
"CL-000170","String replace(char[] source)","org.apache.commons.lang3.text.StrSubstitutor.replace([C)Ljava/lang/String;","436","443"
"CL-000171","String replace(char[] source, int offset, int length)","org.apache.commons.lang3.text.StrSubstitutor.replace([CII)Ljava/lang/String;","458","465"
"CL-000172","String replace(StringBuffer source)","org.apache.commons.lang3.text.StrSubstitutor.replace(Ljava/lang/StringBuffer;)Ljava/lang/String;","476","483"
"CL-000173","String replace(StringBuffer source, int offset, int length)","org.apache.commons.lang3.text.StrSubstitutor.replace(Ljava/lang/StringBuffer;II)Ljava/lang/String;","498","505"
"CL-000174","String replace(CharSequence source)","org.apache.commons.lang3.text.StrSubstitutor.replace(Ljava/lang/CharSequence;)Ljava/lang/String;","516","521"
"CL-000175","String replace(CharSequence source, int offset, int length)","org.apache.commons.lang3.text.StrSubstitutor.replace(Ljava/lang/CharSequence;II)Ljava/lang/String;","537","544"
"CL-000176","String replace(StrBuilder source)","org.apache.commons.lang3.text.StrSubstitutor.replace(Lorg/apache/commons/lang3/text/StrBuilder;)Ljava/lang/String;","555","562"
"CL-000177","String replace(StrBuilder source, int offset, int length)","org.apache.commons.lang3.text.StrSubstitutor.replace(Lorg/apache/commons/lang3/text/StrBuilder;II)Ljava/lang/String;","577","584"
"CL-000178","String replace(Object source)","org.apache.commons.lang3.text.StrSubstitutor.replace(Ljava/lang/Object;)Ljava/lang/String;","595","602"
"CL-000179","boolean replaceIn(StringBuffer source)","org.apache.commons.lang3.text.StrSubstitutor.replaceIn(Ljava/lang/StringBuffer;)Z","613","618"
"CL-000180","boolean replaceIn(StringBuffer source, int offset, int length)","org.apache.commons.lang3.text.StrSubstitutor.replaceIn(Ljava/lang/StringBuffer;II)Z","633","643"
"CL-000181","boolean replaceIn(StringBuilder source)","org.apache.commons.lang3.text.StrSubstitutor.replaceIn(Ljava/lang/StringBuilder;)Z","655","660"
"CL-000182","boolean replaceIn(StringBuilder source, int offset, int length)","org.apache.commons.lang3.text.StrSubstitutor.replaceIn(Ljava/lang/StringBuilder;II)Z","676","686"
"CL-000183","boolean replaceIn(StrBuilder source)","org.apache.commons.lang3.text.StrSubstitutor.replaceIn(Lorg/apache/commons/lang3/text/StrBuilder;)Z","696","701"
"CL-000184","boolean replaceIn(StrBuilder source, int offset, int length)","org.apache.commons.lang3.text.StrSubstitutor.replaceIn(Lorg/apache/commons/lang3/text/StrBuilder;II)Z","715","720"
"CL-000185","boolean substitute(StrBuilder buf, int offset, int length)","org.apache.commons.lang3.text.StrSubstitutor.substitute(Lorg/apache/commons/lang3/text/StrBuilder;II)Z","737","739"
"CL-000186","StrBuilder append(String str, int startIndex, int length)","org.apache.commons.lang3.text.StrBuilder.append(Ljava/lang/String;II)Lorg/apache/commons/lang3/text/StrBuilder;","592","609"
"CL-000187","StrBuilder append(char[] chars)","org.apache.commons.lang3.text.StrBuilder.append([C)Lorg/apache/commons/lang3/text/StrBuilder;","836","848"
"CL-000188","StrBuilder append(char[] chars, int startIndex, int length)","org.apache.commons.lang3.text.StrBuilder.append([CII)Lorg/apache/commons/lang3/text/StrBuilder;","859","876"
"CL-000189","StrBuilder append(StringBuffer str)","org.apache.commons.lang3.text.StrBuilder.append(Ljava/lang/StringBuffer;)Lorg/apache/commons/lang3/text/StrBuilder;","687","699"
"CL-000190","StrBuilder append(StringBuffer str, int startIndex, int length)","org.apache.commons.lang3.text.StrBuilder.append(Ljava/lang/StringBuffer;II)Lorg/apache/commons/lang3/text/StrBuilder;","710","727"
"CL-000191","StrBuilder append(CharSequence seq, int startIndex, int length)","org.apache.commons.lang3.text.StrBuilder.append(Ljava/lang/CharSequence;II)Lorg/apache/commons/lang3/text/StrBuilder;","553","559"
"CL-000192","StrBuilder append(StrBuilder str)","org.apache.commons.lang3.text.StrBuilder.append(Lorg/apache/commons/lang3/text/StrBuilder;)Lorg/apache/commons/lang3/text/StrBuilder;","787","799"
"CL-000193","StrBuilder append(StrBuilder str, int startIndex, int length)","org.apache.commons.lang3.text.StrBuilder.append(Lorg/apache/commons/lang3/text/StrBuilder;II)Lorg/apache/commons/lang3/text/StrBuilder;","810","827"
"CL-000194","StrBuilder append(Object obj)","org.apache.commons.lang3.text.StrBuilder.append(Ljava/lang/Object;)Lorg/apache/commons/lang3/text/StrBuilder;","505","513"
